Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2019/012.837;A-002.641/2019;M Dias Branco S.A. Indústria e Comércio de Alimentos;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;17/07/2019;17/07/2019;"8,7";"8,7";m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Garibaldi;Poço Requerido 1;"-29,2665";"-51,4953";-;-
2019/012.826;A-002.640/2019;Agro JCB Ltda;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;17/07/2019;17/07/2019;106;106;m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Muitos Capões;Ponto 1;"-28,5106432227679";"-51,2642304511571";-;-
2019/012.804;A-002.639/2019;Leandro Priori;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;16/07/2019;16/07/2019;38;38;m³/dia;0;"Consumo humano, Dessedentação animal, Manutenção e higienização dos animais";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Vista Alegre do Prata;Poço Requerido 1;"-28,8008333333333";"-51,7427777777778";-;-
2019/012.774;A-002.638/2019;TIMAC AGRO IND E COM DE FERTILIZANTES LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;16/07/2019;16/07/2019;288;288;m³/dia;0;"Processo industrial, Sistema de combate à incêndios";Bacia Hidrográfica da Lagoa Mirim e do Canal São Gonçalo;-;Quaternário Costeiro I;Rio Grande;Poço Requerido 1;"-32,0708333333333";"-52,1038888888889";-;-
2019/012.755;A-002.636/2019;Avelino Miranda Vargas;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;16/07/2019;16/07/2019;"3,4";"3,4";m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica do Rio Passo Fundo;-;Serra Geral I;Sertão;Ponto 1;"-28,0531709897806";"-52,3793027275495";-;-
2019/012.739;A-002.635/2019;RENATO ANTONIOLLI;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;16/07/2019;16/07/2019;3;3;m³/dia;0;"Consumo humano, Irrigação";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral I;Ibirapuitã;Ponto 1;"-28,61975";"-52,3491388888889";-;-
2019/012.700;A-002.633/2019;Juarez Gandolfi Da Rosa;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;15/07/2019;16/07/2019;1;1;m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral II;Mato Castelhano;Poço Requerido 1;"-28,2424264206036";"-52,1526789665222";-;-
2019/012.531;A-002.630/2019;Bunge Alimentos S/A;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;12/07/2019;12/07/2019;20;20;m³/dia;0;"Consumo humano, Irrigação";Bacia Hidrográfica da Lagoa Mirim e do Canal São Gonçalo;-;Embasamento Cristalino II;Capão do Leão;Poço Requerido 1;"-31,765";"-52,5277777777778";-;-
2019/012.489;A-002.629/2019;Prefeitura Municipal de Casca-RS;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;11/07/2019;11/07/2019;54;54;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Casca;Poço Requerido 1;"-28,5530555555556";"-52,0925";-;-
2019/012.427;A-002.628/2019;ALIBEM ALIMENTOS S.A.;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;11/07/2019;11/07/2019;108;108;m³/dia;0;Dessedentação animal;Bacia Hidrográfica do Alto Jacuí;-;Serra Geral I;Colorado;Poço Requerido 1;"-28,4191455542459";"-52,9671692848206";-;-
2019/012.396;A-002.627/2019;ASTOR VALTER FRITZEN;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;11/07/2019;11/07/2019;12;12;m³/dia;0;Irrigação;Bacia Hidrográfica do Rio Caí;-;Serra Geral II;São Vendelino;Poço Requerido 1;"-29,3669444444444";"-51,3783333333333";-;-
2019/012.199;A-002.623/2019;ROMANO COMÉRCIO ATACADISTA DE DERIVADOS DE PETRÓLEO EIRELLI;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;09/07/2019;09/07/2019;15;15;m³/dia;0;"Atividades comerciais, Irrigação, Sistema de combate à incêndios";Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral II;Vacaria;Poço Requerido 1;"-28,4399";"-50,8766";-;-
2019/012.051;A-002.622/2019;NICAEL DE OLIVEIRA RODRIGUES;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;05/07/2019;05/07/2019;"0,8";"0,8";m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Ibicuí;-;Serra Geral II;Alegrete;Poço Requerido 1;"-29,6324";"-55,6317";-;-
2019/011.953;A-002.620/2019;Alcemo Chassot;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;04/07/2019;04/07/2019;15;15;m³/dia;0;Irrigação;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Garibaldi;Poço Requerido 1;"-29,2111";"-51,5388";-;-
2019/011.943;A-002.647/2019;BALDUINO ADRIANO DA COSTA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;04/07/2019;19/07/2019;"7,5";"7,5";m³/dia;0;"Consumo humano, Dessedentação animal, Manutenção e higienização dos animais";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Paverama;Poço Requerido 1;"-29,5613";"-51,7264";-;-
2019/011.934;A-002.621/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;04/07/2019;05/07/2019;240;240;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Baixo Jacuí;-;Santa Maria;Faxinal do Soturno;Poço Requerido 1;"-29,5755";"-53,4221";-;-
2019/011.889;A-002.626/2019;ALTEMIR CONFORTIN;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;03/07/2019;10/07/2019;5;5;m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral II;Cacique Doble;Poço Requerido 1;"-27,6975";"-51,7008333333333";-;-
2019/011.879;A-002.618/2019;PREFEITURA MUNICIPAL DE GETÚLIO VARGAS;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;03/07/2019;03/07/2019;20;20;m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Getúlio Vargas;Poço Requerido 1;"-27,8533";"-52,1711";-;-
2019/011.877;A-002.619/2019;GILDA PIRES BEVILACQUA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;03/07/2019;03/07/2019;"0,48";"0,48";m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Vacacaí - Vacacaí Mirim;-;Sanga do Cabral / Pirambóia;Formigueiro;Poço Requerido 1;"-29,9773903297406";"-53,5670828819275";-;-
2019/011.769;A-002.617/2019;Afonso Francisco Pogorzelski;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;02/07/2019;02/07/2019;90;90;m³/dia;0;Dessedentação animal;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Centenário;Poço Requerido 1;"-27,7531";"-51,9909";-;-
2019/011.724;A-002.616/2019;Município de Camargo;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;01/07/2019;01/07/2019;54;54;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Camargo;Poço Requerido 1;"-28,5830555555556";"-52,2133333333333";-;-
2019/011.677;A-002.614/2019;Jorge GIlmar Parmegiani;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;01/07/2019;01/07/2019;"1,8";"1,8";m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Gaurama;Poço Requerido 1;"-27,6302352990545";"-52,1694374084473";-;-
2019/011.672;A-002.624/2019;TODESMADE INDUSTRIA DE MADEIRAS E ARTEFATOS LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;01/07/2019;10/07/2019;24;24;m³/dia;0;"Consumo humano, Processo industrial";Bacia Hidrográfica do Baixo Jacuí;-;Embasamento Cristalino II;Cachoeira do Sul;Poço Requerido 1;"-30,4538";"-52,957";-;-
2019/011.669;A-002.612/2019;OLDEMAR DUAVE ROTHER;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;01/07/2019;01/07/2019;4;4;m³/dia;0;Consumo humano;Bacia Hidrográfica do Alto Jacuí;-;Serra Geral I;Fortaleza dos Valos;Poço Requerido 1;"-28,7664929205066";"-53,1522631645203";-;-
2019/011.647;A-002.642/2019;Julio Cesar Talini;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;30/06/2019;17/07/2019;20;20;m³/dia;0;Dessedentação animal;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Progresso;Poço Requerido 1;"-29,2871";"-52,2198";-;-
2019/011.634;A-002.608/2019;Firmino Sanches;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;28/06/2019;28/06/2019;1;1;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Veranópolis;Poço Requerido 1;"-28,9980555555556";"-51,4811111111111";-;-
2019/011.623;A-002.604/2019;BLUE XANGRI-LÁ CONDOMÍNIO RESIDENCIAL;Água Subterrânea;Água subterrânea;Poço ponteira;Autorização Prévia;Concedida;-;28/06/2019;28/06/2019;40;40;m³/dia;0;Irrigação;Bacia Hidrográfica do Rio Tramandaí;-;Quaternário Costeiro I;Xangri-Lá;Poço Requerido 1;"-29,8108";"-50,0537";-;-
2019/011.619;A-002.603/2019;BLUE XANGRI-LÁ CONDOMÍNIO RESIDENCIAL;Água Subterrânea;Água subterrânea;Poço ponteira;Autorização Prévia;Concedida;-;28/06/2019;28/06/2019;40;40;m³/dia;0;Irrigação;Bacia Hidrográfica do Rio Tramandaí;-;Quaternário Costeiro I;Xangri-Lá;Poço Requerido 1;"-29,8111";"-50,053";-;-
2019/011.615;A-002.605/2019;GALLINA INCORPORAÇÕES E CONSTRUÇÕES LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;28/06/2019;28/06/2019;"49,25";"49,25";m³/dia;0;"Consumo humano, Irrigação";Bacia Hidrográfica do Rio dos Sinos;-;Botucatu;Taquara;Poço Requerido 1;"-29,7395";"-50,8463";-;-
2019/011.572;A-002.602/2019;MARIA ROVANI ORSO;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;28/06/2019;28/06/2019;"3,25";11;m³/dia;0;"Irrigação, Piscinas de uso coletivo, Sistema de combate à incêndios";Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Erechim;Poço Requerido 1;"-27,6275";"-52,2511111111111";-;-
2019/011.512;A-002.601/2019;Albino Neumann & Cia Ltda;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;27/06/2019;27/06/2019;46;46;m³/dia;0;"Consumo humano, Processo industrial";Bacia Hidrográfica da Lagoa Mirim e do Canal São Gonçalo;-;Embasamento Cristalino III;Morro Redondo;Poço Requerido 1;"-31,5684";"-52,6499";-;-
2019/011.433;A-002.615/2019;Município de Camargo;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;26/06/2019;01/07/2019;54;54;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Camargo;Poço Requerido 1;"-28,5966666666667";"-52,2041666666667";-;-
2019/011.425;A-002.599/2019;Pedro Hendges;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;26/06/2019;26/06/2019;"4,7";"4,7";m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Campina das Missões;Ponto 1;"-28,024782";"-54,749788";-;-
2019/011.311;A-002.598/2019;César Vendruscolo;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;26/06/2019;26/06/2019;10;10;m³/dia;0;Dessedentação animal;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Severiano de Almeida;Poço Requerido 1;"-27,4582065120856";"-52,1173596382141";-;-
2019/011.308;A-002.597/2019;Cervejaria Kerber LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;25/06/2019;26/06/2019;20;20;m³/dia;0;"Consumo humano, Processo industrial";Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Santo Cristo;Poço Requerido 1;"-27,8438888888889";"-54,6533333333333";-;-
2019/011.267;A-002.596/2019;SANDRA CRISTINA BORILLE;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;25/06/2019;25/06/2019;2;2;m³/dia;0;Lavagem coletiva de veículos;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Tapejara;Poço Requerido 1;"-28,0588888888889";"-52,0083333333333";-;-
2019/011.229;A-002.595/2019;Mara Cristina Bohrz Paloschi;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;25/06/2019;25/06/2019;6;6;m³/dia;0;Consumo humano;Bacia Hidrográfica do Alto Jacuí;-;Serra Geral I;Cruz Alta;Poço Requerido 1;"-28,7825550343591";"-53,3792638778687";-;-
2019/011.183;A-002.594/2019;Ricardo Stibe;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;24/06/2019;24/06/2019;"11,5";"11,5";m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Guarani das Missões;Ponto 1;"-28,133007";"-54,62936";-;-
2019/011.154;A-002.593/2019;Antonio Luiz Snitowski;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;24/06/2019;24/06/2019;"7,4";"7,4";m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica do Rio Ijuí;-;Serra Geral I;Guarani das Missões;Ponto 1;"-28,1656050983553";"-54,6263923074243";-;-
2019/011.117;A-002.592/2019;Nilson Lansing Scherer;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;24/06/2019;24/06/2019;70;70;m³/dia;0;"Consumo humano, Dessedentação animal";Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Crissiumal;Ponto 1;"-27,541630635493";"-54,1388588733725";-;-
2019/011.039;A-002.590/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;21/06/2019;21/06/2019;320;320;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Baixo Jacuí;-;Santa Maria;Faxinal do Soturno;Poço Requerido 1;"-29,5638";"-53,4239";-;-
2019/011.037;A-002.589/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;21/06/2019;21/06/2019;320;320;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Flores da Cunha;Poço Requerido 1;"-29,0827";"-51,1491";-;-
2019/011.035;A-002.588/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;21/06/2019;21/06/2019;320;320;m³/dia;0;Abastecimento público;Bacia Hidrográfica dos Rios Butuí - Icamaquã;-;Serra Geral II;Maçambará;Poço Requerido 1;"-29,1435";"-56,0664";-;-
2019/011.030;A-002.587/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;21/06/2019;21/06/2019;480;480;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Lajeado;Poço Requerido 1;"-29,4778";"-51,9926";-;-
2019/010.995;A-002.585/2019;MUNICÍPIO DE SARANDI;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;21/06/2019;21/06/2019;36;36;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio da Várzea;-;Serra Geral I;Sarandi;Poço Requerido 1;"-27,9844444444444";"-52,9052777777778";-;-
2019/010.900;A-002.584/2019;Paulo Roberto Bonfanti;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;19/06/2019;19/06/2019;100;100;m³/dia;0;Consumo humano;Bacia Hidrográfica do Alto Jacuí;-;Serra Geral I;Ibirubá;Ponto 1;"-28,6300289622051";"-53,1144131468983";-;-
2019/010.884;A-002.582/2019;MUNICIPIO DE JARI;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;19/06/2019;19/06/2019;18;18;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Ibicuí;-;Serra Geral II;Jari;Poço Requerido 1;"-29,2616666666667";"-54,3855555555556";-;-
2019/010.667;A-002.581/2019;Iago Miguel Simonaggio Ferret;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;17/06/2019;19/06/2019;20;20;m³/dia;0;"Consumo humano, Irrigação";Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Garibaldi;Ponto 1;"-29,2413301948092";"-51,583482634952";-;-
2019/010.604;A-002.578/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;14/06/2019;14/06/2019;450;450;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Rio Caí;-;Serra Geral II;Feliz;Poço Requerido 1;"-29,4144";"-51,2816";-;-
2019/010.586;A-002.577/2019;PREFEITURA MUNICIPAL DE SÃO JOSÉ DO OURO;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;14/06/2019;14/06/2019;"6,3";"6,3";m³/dia;0;Abastecimento público;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral II;São José do Ouro;Poço Requerido 1;"-27,8025";"-51,5861111111111";-;-
2019/010.565;A-002.600/2019;Tramontina S.A Cutelaria;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;13/06/2019;27/06/2019;90;90;m³/dia;0;Processo industrial;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Carlos Barbosa;Poço Requerido 1;"-29,285558400811";"-51,4980883899989";-;-
2019/010.527;A-002.575/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;13/06/2019;13/06/2019;480;480;m³/dia;0;Abastecimento público;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Aratiba;Poço Requerido 1;"-27,3832380055534";"-52,2904801368713";-;-
2019/010.517;A-002.576/2019;VANDERLEI THIS EPP;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;13/06/2019;13/06/2019;10;10;m³/dia;0;Processo industrial;Bacia Hidrográfica do Rio Taquari-Antas;-;Botucatu / Pirambóia;Paverama;Poço Requerido 1;"-29,621";"-51,7421";-;-
2019/010.515;A-002.574/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;13/06/2019;13/06/2019;320;320;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Flores da Cunha;Poço Requerido 1;"-29,039249414946";"-51,1703038215637";-;-
2019/010.484;A-002.573/2019;Nestor Schallenberger;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;12/06/2019;12/06/2019;10;10;m³/dia;0;"Consumo humano, Dessedentação animal, Manutenção e higienização dos animais";Bacia Hidrográfica do Rio Caí;-;Serra Geral II;Maratá;Poço Requerido 1;"-29,5324963396229";"-51,534698009491";-;-
2019/010.443;A-002.572/2019;MUNICIPIO DE SAO JOSE DO SUL;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;12/06/2019;12/06/2019;"21,6";"21,6";m³/dia;0;Processo industrial;Bacia Hidrográfica do Rio Caí;-;Serra Geral II;São José do Sul;Poço Requerido 1;"-29,5359678464741";"-51,5019397031028";-;-
2019/010.437;A-002.571/2019;Ivo Luiz Feranti;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;12/06/2019;12/06/2019;"1,8";"1,8";m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;Serra Geral I;Erechim;Poço Requerido 1;"-27,6322222222222";"-52,3372222222222";-;-
2019/010.222;A-002.567/2019;Lilian Helena Rebelato Krakhecke Bosa;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;08/06/2019;10/06/2019;"1,9";"1,9";m³/dia;0;Dessedentação animal;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;Serra Geral I;Campo Novo;Ponto 1;"-27,6844061080554";"-53,8077994316435";-;-
2019/010.207;A-002.565/2019;MECAUTOR MECÂNICA E COMÉRCIO DE AUTOMOTORES LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;07/06/2019;07/06/2019;16;16;m³/dia;0;"Atividades comerciais, Consumo humano, Sistema de combate à incêndios";Bacia Hidrográfica do Rio Ijuí;-;Serra Geral I;Santo Ângelo;Ponto 1;"-28,3213814237711";"-54,2726891191778";-;-
2019/010.206;A-002.564/2019;ADEMAR CHIES;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;07/06/2019;07/06/2019;1;1;m³/dia;0;Consumo humano;Bacia Hidrográfica do Rio Taquari-Antas;-;Serra Geral II;Nova Prata;Poço Requerido 1;"-28,7986111111111";"-51,5286111111111";-;-
2019/010.203;A-002.563/2019;VITALE EMPREENDIMENTOS IMOBILIARIOS LTDA;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;07/06/2019;07/06/2019;21;21;m³/dia;0;Consumo humano;Bacia Hidrográfica dos Rios Vacacaí - Vacacaí Mirim;-;Santa Maria;São João do Polêsine;Poço Requerido 1;"-29,6859649331839";"-53,5173869132996";-;-
2019/010.172;A-002.561/2019;Companhia Riograndense de Saneamento;Água Subterrânea;Água subterrânea;Poço tubular;Autorização Prévia;Concedida;-;07/06/2019;07/06/2019;800;800;m³/dia;0;Abastecimento público;Bacia Hidrográfica do Litoral Médio;-;Quaternário Costeiro I;Palmares do Sul;Poço Requerido 1;"-30,3381";"-50,395";-;-
